TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price,Pending Quantity,Total Quantity,Add to Quantity,TCG Marketplace Price,My Store Reserve Quantity,My Store Price,Photo URL
7151897,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Frodo Baggins (Borderless),,404,U,Lightly Played Foil,0.34,0,0,0,3,3,0.34,,,
7539493,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Frodo Baggins (Showcase Scrolls),,656,U,Lightly Played Foil,0.16,0,0,0,1,1,0.16,,,
7027918,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Frodo, Sauron's Bane",,18,R,Lightly Played Foil,0.19,0,0,0,1,1,0.19,,,
7028508,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Frodo, Sauron's Bane (Showcase)",,304,R,Lightly Played Foil,0.18,0,0,0,2,2,0.18,,,
7028798,Magic,Unique and Miscellaneous Promos,"Frodo, Sauron's Bane (Borderless) (LTR Bundle)",,448,R,Lightly Played Foil,0.11,0,0,0,1,1,0.11,,,
7165741,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Galadhrim Bow,,167,C,Lightly Played Foil,0.09,0,0,0,3,3,0.09,,,
7539433,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Galadhrim Bow (Showcase Scrolls),,618,C,Lightly Played Foil,0.17,0,0,0,1,1,0.17,,,
7213164,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Galadhrim Guide,,168,C,Lightly Played Foil,0.05,0,0,0,3,3,0.05,,,
7538348,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Galadriel of Lothlorien (Showcase Scrolls),,657,R,Lightly Played Foil,0.44,0,0,0,1,1,0.44,,,
7023902,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gandalf the Grey,,207,R,Lightly Played Foil,0.57,0,0,0,2,2,0.57,,,
7538103,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gandalf the Grey (Showcase Scrolls),,658,R,Lightly Played Foil,1.22,0,0,0,1,1,1.22,,,
7221416,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gandalf's Sanction,,208,U,Lightly Played Foil,0.15,0,0,0,3,3,0.15,,,
7538293,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gandalf's Sanction (Showcase Scrolls),,659,U,Lightly Played Foil,0.25,0,0,0,3,3,0.25,,,
7172616,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gandalf, Friend of the Shire",,50,U,Lightly Played Foil,0.21,0,0,0,1,1,0.21,,,
7446962,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gandalf, Friend of the Shire (Showcase Scrolls)",,501,U,Lightly Played Foil,0.11,0,0,0,5,5,0.11,,,
7189729,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gift of Strands,,170,U,Lightly Played Foil,0.07,0,0,0,1,1,0.07,,,
7539423,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gift of Strands (Showcase Scrolls),,621,U,Lightly Played Foil,0.12,0,0,0,3,3,0.12,,,
7184054,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gimli's Axe,,130,C,Lightly Played Foil,0.09,0,0,0,1,1,0.09,,,
7539573,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gimli's Axe (Showcase Scrolls),,581,C,Lightly Played Foil,0.19,0,0,0,5,5,0.19,,,
7185141,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gimli's Fury,,131,C,Lightly Played Foil,0.05,0,0,0,6,6,0.05,,,
7539273,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gimli's Fury (Showcase Scrolls),,582,C,Lightly Played Foil,0.22,0,0,0,3,3,0.22,,,
7184681,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gimli, Counter of Kills",,129,U,Lightly Played Foil,0.15,0,0,0,2,2,0.15,,,
7184761,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gimli, Counter of Kills (Showcase)",,312,U,Lightly Played Foil,0.1,0,0,0,3,3,0.1,,,
7538633,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gimli, Counter of Kills (Showcase Scrolls)",,580,U,Lightly Played Foil,0.2,0,0,0,3,3,0.2,,,
7166161,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gimli, Mournful Avenger",,209,R,Lightly Played Foil,0.2,0,0,0,1,1,0.2,,,
7166241,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gimli, Mournful Avenger (Showcase)",,323,R,Lightly Played Foil,0.28,0,0,0,1,1,0.28,,,
7539733,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gimli, Mournful Avenger (Showcase Scrolls)",,660,R,Lightly Played Foil,0.42,0,0,0,2,2,0.42,,,
7191680,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Glorfindel, Dauntless Rescuer",,171,U,Lightly Played Foil,0.1,0,0,0,2,2,0.1,,,
7216094,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Glorious Gale,,51,C,Lightly Played Foil,0.16,0,0,0,5,5,0.16,,,
7189648,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gloin, Dwarf Emissary",,132,R,Lightly Played Foil,0.58,0,0,0,3,3,0.58,,,
7542953,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gloin, Dwarf Emissary (Showcase Scrolls)",,583,R,Lightly Played Foil,0.91,0,0,0,1,1,0.91,,,
7178083,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gollum's Bite,,85,U,Lightly Played Foil,0.08,0,0,0,1,1,0.08,,,
7542833,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gollum's Bite (Showcase Scrolls),,536,U,Lightly Played Foil,0.23,0,0,0,4,4,0.23,,,
7027833,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gollum, Patient Plotter",,84,U,Lightly Played Foil,0.13,0,0,0,2,2,0.13,,,
7028428,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gollum, Patient Plotter (Showcase)",,309,U,Lightly Played Foil,0.12,0,0,0,5,5,0.12,,,
7028748,Magic,Unique and Miscellaneous Promos,"Gollum, Patient Plotter (Borderless) (LTR Bundle)",,450,U,Lightly Played Foil,0.1,0,0,0,12,12,0.1,,,
7446592,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gollum, Patient Plotter (Showcase Scrolls)",,535,U,Lightly Played Foil,0.22,0,0,0,3,3,0.22,,,
7198496,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gorbag of Minas Morgul,,86,U,Lightly Played Foil,0.17,0,0,0,1,1,0.17,,,
7446672,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gorbag of Minas Morgul (Showcase Scrolls),,537,U,Lightly Played Foil,0.22,0,0,0,2,2,0.22,,,
7166531,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gothmog, Morgul Lieutenant",,87,U,Lightly Played Foil,0.18,0,0,0,1,1,0.18,,,
7174876,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gothmog, Morgul Lieutenant (Borderless)",,429,U,Lightly Played Foil,0.2,0,0,0,2,2,0.2,,,
7448142,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Gothmog, Morgul Lieutenant (Showcase Scrolls)",,538,U,Lightly Played Foil,0.22,0,0,0,4,4,0.22,,,
7187760,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Great Hall of the Citadel,,254,C,Lightly Played Foil,1.01,0,0,0,3,3,1.01,,,
7447192,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Great Hall of the Citadel (Showcase Scrolls),,705,C,Lightly Played Foil,0.42,0,0,0,2,2,0.42,,,
7216174,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Grey Havens Navigator,,53,C,Lightly Played Foil,0.06,0,0,0,6,6,0.06,,,
7446722,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Grey Havens Navigator (Showcase Scrolls),,504,C,Lightly Played Foil,0.17,0,0,0,2,2,0.17,,,
7166691,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Grishnakh, Brash Instigator",,134,U,Lightly Played Foil,0.13,0,0,0,7,7,0.13,,,
7539053,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Grishnakh, Brash Instigator (Showcase Scrolls)",,585,U,Lightly Played Foil,0.15,0,0,0,4,4,0.15,,,
7178746,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Grond, the Gatebreaker",,89,U,Lightly Played Foil,0.1,0,0,0,3,3,0.1,,,
7447892,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Grond, the Gatebreaker (Showcase Scrolls)",,540,U,Lightly Played Foil,0.16,0,0,0,5,5,0.16,,,
7187600,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Grima Wormtongue,,88,U,Lightly Played Foil,0.18,0,0,0,3,3,0.18,,,
7447372,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Grima Wormtongue (Showcase Scrolls),,539,U,Lightly Played Foil,0.18,0,0,0,2,2,0.18,,,
7189969,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gwaihir the Windlord,,210,U,Lightly Played Foil,0.17,0,0,0,3,3,0.17,,,
7539963,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Gwaihir the Windlord (Showcase Scrolls),,661,U,Lightly Played Foil,0.19,0,0,0,3,3,0.19,,,
7538688,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Haradrim Spearmaster (Showcase Scrolls),,586,C,Lightly Played Foil,0.16,0,0,0,5,5,0.16,,,
7214884,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Haunt of the Dead Marshes,,90,C,Lightly Played Foil,0.12,0,0,0,4,4,0.12,,,
7446572,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Haunt of the Dead Marshes (Showcase Scrolls),,541,C,Lightly Played Foil,0.12,0,0,0,2,2,0.12,,,
7539983,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Hew the Entwood (Showcase Scrolls),,587,M,Lightly Played Foil,0.78,0,0,0,2,2,0.78,,,
7216334,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Hithlain Knots,,54,C,Lightly Played Foil,0.2,0,0,0,2,2,0.2,,,
7448162,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Hithlain Knots (Showcase Scrolls),,505,C,Lightly Played Foil,0.21,0,0,0,3,3,0.21,,,
7212449,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Hobbit's Sting,,20,C,Lightly Played Foil,0.1,0,0,0,1,1,0.1,,,
7447312,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Hobbit's Sting (Showcase Scrolls),,471,C,Lightly Played Foil,0.25,0,0,0,4,4,0.25,,,
7447322,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Horn of the Mark (Showcase Scrolls),,692,R,Lightly Played Foil,0.43,0,0,0,1,1,0.43,,,
7214324,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Improvised Club,,137,C,Lightly Played Foil,0.12,0,0,0,8,8,0.12,,,
7542973,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Improvised Club (Showcase Scrolls),,588,C,Lightly Played Foil,0.18,0,0,0,3,3,0.18,,,
7446832,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Inherited Envelope (Showcase Scrolls),,693,C,Lightly Played Foil,0.28,0,0,0,3,3,0.28,,,
7181862,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Ioreth of the Healing House,,56,U,Lightly Played Foil,0.52,0,0,0,2,2,0.52,,,
7216624,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Ithilien Kingfisher,,58,C,Lightly Played Foil,0.04,0,0,0,2,2,0.04,,,
7447032,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Ithilien Kingfisher (Showcase Scrolls),,509,C,Lightly Played Foil,0.12,0,0,0,1,1,0.12,,,
7166931,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Knights of Dol Amroth,,59,C,Lightly Played Foil,0.09,0,0,0,2,2,0.09,,,
7175356,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Knights of Dol Amroth (Borderless),,432,C,Lightly Played Foil,0.17,0,0,0,1,1,0.17,,,
7448052,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Landroval, Horizon Witness (Showcase Scrolls)",,472,U,Lightly Played Foil,0.13,0,0,0,1,1,0.13,,,
